filename	compound	num_examples	status	best_k	best_silhouette	searched_k_values	reason
bergwerk.pickle	bergwerk	2167	clustered	12	0.089136	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
bildhauer.pickle	bildhauer	1167	clustered	17	0.084799	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
brunnenwasser.pickle	brunnenwasser	275	clustered	27	0.167812	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
eifersucht.pickle	eifersucht	1616	clustered	16	0.185429	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
eisenwerk.pickle	eisenwerk	1056	clustered	9	0.145078	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
feldzug.pickle	feldzug	1970	clustered	30	0.079592	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
feuerwerk.pickle	feuerwerk	604	clustered	9	0.137569	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
gesichtszug.pickle	gesichtszug	509	clustered	18	0.175444	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
grundfläche.pickle	grundfläche	678	clustered	25	0.152219	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
hausstand.pickle	hausstand	235	clustered	18	0.137089	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
heerführer.pickle	heerführer	460	clustered	12	0.134526	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
kartenspiel.pickle	kartenspiel	162	clustered	20	0.155174	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
kinderspiel.pickle	kinderspiel	240	clustered	12	0.148894	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
kreuzzug.pickle	kreuzzug	383	clustered	11	0.156616	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
leinöl.pickle	leinöl	133	clustered	10	0.132567	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
mauerwerk.pickle	mauerwerk	863	clustered	11	0.157872	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
meerwasser.pickle	meerwasser	261	clustered	20	0.154692	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
murmeltier.pickle	murmeltier	230	clustered	13	0.213898	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
rechtsstreit.pickle	rechtsstreit	742	clustered	14	0.085213	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
rehbock.pickle	rehbock	147	clustered	7	0.169510	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
ruhestand.pickle	ruhestand	928	clustered	5	0.121090	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
salzwasser.pickle	salzwasser	711	clustered	11	0.148526	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
schauspiel.pickle	schauspiel	3197	clustered	19	0.081279	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
seewasser.pickle	seewasser	241	clustered	18	0.159324	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
sonnenblume.pickle	sonnenblume	163	clustered	12	0.189172	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
sonnenlicht.pickle	sonnenlicht	733	clustered	11	0.147460	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	
